Feature ID	Taxon
KP405229.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Cervidae;Alces;Alces alces;Alces alces cameloides;NA;NA
NC_017879.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Aldrichetta;Aldrichetta forsteri;NA;NA;NA
NC_025566.1	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Alectis;Alectis ciliaris;NA;NA;NA
PX429954.1	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Alectis;Alectis ciliaris;NA;NA;NA
AY274004.1	Eukaryota;Chordata;Aves;Galliformes;Megapodiidae;Alectura;Alectura lathami;NA;NA;NA
NC_001922.1	Eukaryota;Chordata;NA;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis;NA;NA;NA
AF511507.1	Eukaryota;Chordata;NA;Crocodylia;Alligatoridae;Alligator;Alligator sinensis;NA;NA;NA
DQ283319.1	Eukaryota;Chordata;NA;Crocodylia;Alligatoridae;Alligator;Alligator sinensis;NA;NA;NA
NC_004398.1	Eukaryota;Chordata;Actinopteri;Zeiformes;Oreosomatidae;Allocyttus;Allocyttus niger;NA;NA;NA
NC_022822.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias pelagicus;NA;NA;NA
AF447987.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias superciliosus;NA;NA;NA
NC_021443.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias superciliosus;NA;NA;NA
MF125278.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias vulpinus;NA;NA;NA
NC_009575.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa alosa;NA;NA;NA
PV624612.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa pseudoharengus;NA;NA;NA
AY313982.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Alphestes;Alphestes afer;NA;NA;NA
NC_027268.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Aluterus;Aluterus monoceros;NA;NA;NA
KT600932.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Aluterus;Aluterus schoepfii;NA;NA;NA
OR582707.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Aluterus;Aluterus schoepfii;NA;NA;NA
NC_035659.1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Ambloplites;Ambloplites rupestris;NA;NA;NA
NC_035064.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Amblygaster;Amblygaster sirm;NA;NA;NA
NC_043864.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Danionidae;Amblypharyngodon;Amblypharyngodon mola;NA;NA;NA
NC_000893.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;NA;NA;NA
OR812570.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;NA;NA;NA
OR812669.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;NA;NA;NA
OR812674.1	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;NA;NA;NA
MG570464.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus catus;NA;NA;NA
NC_037012.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus catus;NA;NA;NA
DQ421854.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus melas;NA;NA;NA
NC_068674.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus melas;NA;NA;NA
MG570406.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus natalis;NA;NA;NA
NC_036391.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus natalis;NA;NA;NA
NC_042499.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ameiurus;Ameiurus nebulosus;NA;NA;NA
NC_004742.1	Eukaryota;Chordata;Actinopteri;Amiiformes;Amiidae;Amia;Amia calva;NA;NA;NA
NC_028530.1	Eukaryota;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes americanus;NA;NA;NA
PV423377.1	Eukaryota;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes dubius;NA;NA;NA
NC_020461.1	Eukaryota;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes hexapterus;NA;NA;NA
NC_023827.1	Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Amphilophus;Amphilophus citrinellus;NA;NA;NA
AY279571.1	Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Amphistichus;Amphistichus argenteus;NA;NA;NA
JN125222.1	Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Amphistichus;Amphistichus argenteus;NA;NA;NA
JN125223.1	Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Amphistichus;Amphistichus koelzi;NA;NA;NA
AP006832.1	Eukaryota;Chordata;Actinopteri;Anabantiformes;Anabantidae;Anabas;Anabas testudineus;NA;NA;NA
KT001153.1	Eukaryota;Chordata;Actinopteri;Anabantiformes;Anabantidae;Anabas;Anabas testudineus;NA;NA;NA
NC_024752.1	Eukaryota;Chordata;Actinopteri;Anabantiformes;Anabantidae;Anabas;Anabas testudineus;NA;NA;NA
PZ237767.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses caeruleopunctatus;NA;NA;NA
PZ315373.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses caeruleopunctatus;NA;NA;NA
PZ237772.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses geographicus;NA;NA;NA
LC654211.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses melanurus;NA;NA;NA
PZ315374.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses melanurus;NA;NA;NA
KX117921.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas lupus;NA;NA;NA
KX117981.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas lupus;NA;NA;NA
KX118007.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas minor;NA;NA;NA
LC493930.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas orientalis;NA;NA;NA
LC672482.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas orientalis;NA;NA;NA
NC_044782.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarrhichthys;Anarrhichthys ocellatus;NA;NA;NA
HM063539.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas carolinensis;NA;NA;NA
HM063540.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas crecca;Anas crecca crecca;NA;NA
L16770.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA;NA;NA
L22478.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA;NA;NA
OR242802.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA;NA;NA
OP056849.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa cayorum;NA;NA;NA
DQ912048.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa choerostoma;NA;NA;NA
DQ912036.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa delicatissima;NA;NA;NA
DQ912040.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa hepsetus;NA;NA;NA
PV642271.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa hepsetus;NA;NA;NA
DQ912049.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa lyolepis;NA;NA;NA
NC_082550.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa mitchilli;NA;NA;NA
PV814431.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa parva;NA;NA;NA
PV814432.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa spinifer;NA;NA;NA
PX415544.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoviella;Anchoviella lepidentostole;NA;NA;NA
AP012524.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoviella;Anchoviella sp. CBM-ZF-12586;NA;NA;NA
AP011557.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoviella;Anchoviella sp. LBP 2297;NA;NA;NA
PZ285005.1	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Ancylopsetta;Ancylopsetta dilecta;NA;NA;NA
KJ564240.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla anguilla;NA;NA;NA
AB021891.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla australis;Anguilla australis schmidti;NA;NA
NC_006538.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla dieffenbachii;NA;NA;NA
FJ612587.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla japonica;NA;NA;NA
NC_002707.2	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla japonica;NA;NA;NA
FJ612584.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla rostrata;NA;NA;NA
KJ564181.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla rostrata;NA;NA;NA
NC_087983.1	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus surinamensis;NA;NA;NA
OP057108.2	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus virginicus;NA;NA;NA
NC_021446.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Anodontostoma;Anodontostoma chacunda;NA;NA;NA
NC_018119.1	Eukaryota;Chordata;Actinopteri;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria;NA;NA;NA
NC_011196.1	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anser;Anser anser;NA;NA;NA
