Feature ID	Taxon
MN365274.1	NA;Chordata;Mammalia;Artiodactyla;Delphinidae;Sousa;Sousa teuszii;NA;NA;NA
PX519993.1	NA;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Balaenoptera;Balaenoptera bonaerensis;NA;NA;NA
NC_012058.1	NA;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus;NA;NA;NA
AP012944.1	NA;Chordata;Actinopteri;Scombriformes;Trichiuridae;Aphanopus;Aphanopus carbo;NA;NA;NA
PQ859329.1	NA;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus caudatus;NA;NA;NA
Lepturacanthus	NA;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepturacanthus;Lepturacanthus savala;NA;NA;NA
MW719078.1	NA;Chordata;Actinopteri;Scombriformes;Trichiuridae;Trichiurus;Trichiurus lepturus;NA;NA;NA
BK071526.1	NA;Chordata;Mammalia;Artiodactyla;Phocoenidae;Neophocaena;Neophocaena asiaeorientalis;Neophocaena asiaeorientalis asiaeorientalis;NA;NA
OR353710.1	NA;Chordata;Mammalia;Artiodactyla;Phocoenidae;Neophocaena;Neophocaena phocaenoides;NA;NA;NA
ON675352.1	NA;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Balaenoptera;Balaenoptera musculus;NA;NA;NA
ON675314.1	NA;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Balaenoptera;Balaenoptera musculus;NA;NA;NA
ON675282.1	NA;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Balaenoptera;Balaenoptera musculus;NA;NA;NA
AM181036.1	NA;Chordata;Mammalia;Carnivora;Phocidae;Pusa;Pusa hispida;NA;NA;NA
ON675355.1	NA;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Balaenoptera;Balaenoptera musculus;NA;NA;NA
AM181030.1	NA;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca groenlandica;NA;NA;NA
KP942571.1	NA;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca groenlandica;NA;NA;NA
PQ827035.1	NA;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca groenlandica;NA;NA;NA
KP942568.1	NA;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca groenlandica;NA;NA;NA
AM181032.1	NA;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca vitulina;NA;NA;NA
GU174596.1	NA;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca groenlandica;NA;NA;NA
KP942573.1	NA;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca groenlandica;NA;NA;NA
AM181028.1	NA;Chordata;Mammalia;Carnivora;Phocidae;Cystophora;Cystophora cristata;NA;NA;NA
JX477078.1	NA;Chordata;Actinopteri;Scombriformes;Trichiuridae;Trichiurus;Trichiurus lepturus;Trichiurus lepturus nanhaiensis;NA;NA
LC891860.2	NA;Chordata;Actinopteri;Scombriformes;Trichiuridae;Trichiurus;Trichiurus lepturus;NA;NA;NA
PQ628767.1	NA;Chordata;Actinopteri;NA;Polynemidae;Polynemus;Polynemus decadactylus;NA;NA;NA
PZ253499.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres chloropterus;NA;NA;NA
Colistium	NA;Platyhelminthes;Trematoda;Opisthorchiida;Acanthocolpidae;Stephanostomum;Stephanostomum sp. 1 JB-2023;NA;NA;NA
NC_052757.1	NA;Chordata;Actinopteri;Gobiiformes;Gobiidae;Neogobius;Neogobius melanostomus;NA;NA;NA
FJ215004.1	NA;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus fasciatus;NA;NA;NA
KX929910.1	NA;Chordata;Actinopteri;Gadiformes;Macrouridae;Nezumia;Nezumia bairdii;NA;NA;NA
Acanthocybium	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA;NA;NA
PP032949.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA;NA;NA
Pomatomus	NA;Chordata;Actinopteri;Scombriformes;Pomatomidae;Pomatomus;Pomatomus saltator;NA;NA;NA
OR911369.1	NA;Chordata;Actinopteri;Scombriformes;Pomatomidae;Pomatomus;Pomatomus saltator;NA;NA;NA
GU109281.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus niphonius;NA;NA;NA
DQ536428.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cavalla;NA;NA;NA
KJ408216.1	NA;Chordata;Actinopteri;Scombriformes;Gempylidae;Rexea;Rexea solandri;NA;NA;NA
EU861054.1	NA;Chordata;Actinopteri;NA;Malacanthidae;Branchiostegus;Branchiostegus argentatus;NA;NA;NA
AP006804.1	NA;Chordata;Actinopteri;NA;Malacanthidae;Branchiostegus;Branchiostegus japonicus;NA;NA;NA
NC_066972.1	NA;Chordata;Actinopteri;Scombriformes;Gempylidae;Thyrsites;Thyrsites atun;NA;NA;NA
OP598801.1	NA;Chordata;Actinopteri;Scombriformes;Gempylidae;Thyrsites;Thyrsites atun;NA;NA;NA
PV642269.1	NA;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinella;Sardinella aurita;NA;NA;NA
OR812674.1	NA;Chordata;Chondrichthyes;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;NA;NA;NA
PX430014.1	NA;Chordata;Actinopteri;Clupeiformes;Chirocentridae;Chirocentrus;Chirocentrus dorab;NA;NA;NA
AP018763.1	NA;Chordata;Actinopteri;Clupeiformes;Chirocentridae;Chirocentrus;Chirocentrus dorab;NA;NA;NA
PX904198.1	NA;Chordata;Actinopteri;Clupeiformes;Chirocentridae;Chirocentrus;Chirocentrus dorab;NA;NA;NA
AP008990.1	NA;Chordata;Actinopteri;Gadiformes;Macrouridae;Trachyrincus;Trachyrincus murrayi;NA;NA;NA
Doederleinia	NA;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Doederleinia;Doederleinia berycoides;NA;NA;NA
PZ315220.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Pseudogramma;Pseudogramma gregoryi;NA;NA;NA
GQ352661.1	NA;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherina;Atherina boyeri;NA;NA;NA
OP035248.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Suttonia;Suttonia lineata;NA;NA;NA
LC814583.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Pseudolabrus;Pseudolabrus sieboldi;NA;NA;NA
LC790131.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Pseudolabrus;Pseudolabrus sieboldi;NA;NA;NA
LC649220.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Pseudolabrus;Pseudolabrus eoethinus;NA;NA;NA
NC_022140.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Triso;Triso dermopterus;NA;NA;NA
LC681776.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Stethojulis;Stethojulis terina;NA;NA;NA
PV454009.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Decodon;Decodon melasma;NA;NA;NA
PZ253521.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres biocellatus;NA;NA;NA
AF150008.1	NA;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Bothus;Bothus lunatus;NA;NA;NA
OP035108.1	NA;Chordata;Actinopteri;Carangiformes;Carangidae;Decapterus;Decapterus punctatus;NA;NA;NA
MH377782.1	NA;Chordata;Actinopteri;NA;Malacanthidae;Lopholatilus;Lopholatilus chamaeleonticeps;NA;NA;NA
Polydactylus	NA;Chordata;Actinopteri;NA;Polynemidae;Polydactylus;Polydactylus sextarius;NA;NA;NA
AF447999.1	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Isurus;Isurus oxyrinchus;NA;NA;NA
PX904184.1	NA;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Dagetichthys;Dagetichthys commersonnii;NA;NA;NA
AY949385.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis cruentata;NA;NA;NA
NC_088014.1	NA;Chordata;Actinopteri;Centrarchiformes;Cheilodactylidae;Nemadactylus;Nemadactylus bergi;NA;NA;NA
PP467815.1	NA;Chordata;Actinopteri;Spariformes;Sparidae;Boops;Boops boops;NA;NA;NA
AY949351.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Paranthias;Paranthias colonus;NA;NA;NA
PX987547.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis panamensis;NA;NA;NA
