scientific_name,marker,ncbi_hits,common_name,source
Chloroscombrus orqueta,12,0,bumper,"FDA The Seafood List, 2023/07/21"
Chlorurus perspicillatus,12,0,parrotfish,"FDA The Seafood List, 2023/07/21"
Cichla orinocensis,12,0,cichlid,"FDA The Seafood List, 2023/07/21"
Ciliata septentrionalis,12,0,rockling,"FDA The Seafood List, 2023/07/21"
Cilus gilberti,12,0,corvina,"FDA The Seafood List, 2023/07/21"
Clarias anguillaris,12,0,clarias fish,"FDA The Seafood List, 2023/07/21"
Clarias gariepinus x Clarias macrocephalus,12,0,clarias fish,"FDA The Seafood List, 2023/07/21"
Clinocardium californiense,12,0,cockle,"FDA The Seafood List, 2023/07/21"
Clinocardium nuttallii,12,0,cockle,"FDA The Seafood List, 2023/07/21"
Coilia ramcarati,12,0,anchovy,"FDA The Seafood List, 2023/07/21"
Colistium guntheri,12,0,flounder,"FDA The Seafood List, 2023/07/21"
Conger cinereus marginatus,12,0,conger eel,"FDA The Seafood List, 2023/07/21"
Conger oligoporus,12,0,conger eel,"FDA The Seafood List, 2023/07/21"
Congiopodus leucopaecilus,12,0,racehorse,"FDA The Seafood List, 2023/07/21"
Coregonus alpenae,12,0,cisco,"FDA The Seafood List, 2023/07/21"
Coregonus kiyi,12,0,chub,"FDA The Seafood List, 2023/07/21"
Coregonus pidschian,12,0,whitefish,"FDA The Seafood List, 2023/07/21"
Coregonus reighardi,12,0,cisco,"FDA The Seafood List, 2023/07/21"
Corvula batabana,12,0,croaker,"FDA The Seafood List, 2023/07/21"
Corvula sanctaeluciae,12,0,croaker,"FDA The Seafood List, 2023/07/21"
Crangon franciscorum,12,0,california shrimp,"FDA The Seafood List, 2023/07/21"
Crangon septemspinosa,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Crassostrea chilensis,12,0,oyster,"FDA The Seafood List, 2023/07/21"
Crassostrea gigas kumamoto,12,0,oyster,"FDA The Seafood List, 2023/07/21"
Crassostrea glomerata,12,0,oyster,"FDA The Seafood List, 2023/07/21"
Crassostrea skiamea,12,0,oyster,"FDA The Seafood List, 2023/07/21"
Crassostrea virginica,12,0,american cupped oyster,FAO Cultured Aquatic Species Fact Sheets
Cybiosarda elegans,12,0,bonito,"FDA The Seafood List, 2023/07/21"
Cyclochila virens,12,0,northern greengrocer,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Cynoscion acoupa,12,0,weakfish,"FDA The Seafood List, 2023/07/21"
Cynoscion othonopterus,12,0,croaker,"FDA The Seafood List, 2023/07/21"
Cynoscion virescens,12,0,weakfish,"FDA The Seafood List, 2023/07/21"
Cypselurus comatus,12,0,flyingfish,"FDA The Seafood List, 2023/07/21"
Cypselurus simus,12,0,flyingfish,"FDA The Seafood List, 2023/07/21"
Cyriopagopus albostriatus,12,0,thailand zebra leg tarantula,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Cyrtodaria siliqua,12,0,propeller clam,"FDA The Seafood List, 2023/07/21"
Decapterus koheru,12,0,scad,"FDA The Seafood List, 2023/07/21"
