scientific_name,common_name,source,total_12S_hits,vert_12S_hits,is_vertebrate
Panulirus versicolor,spiny lobster,"FDA The Seafood List, 2023/07/21",6,0,FALSE
Procambarus acutus,crawfish,"FDA The Seafood List, 2023/07/21",6,0,FALSE
Saccostrea cuccullata,oyster,"FDA The Seafood List, 2023/07/21",6,0,FALSE
Vespa orientalis,oriental hornet,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",6,0,FALSE
Watasenia scintillans,squid,"FDA The Seafood List, 2023/07/21",6,0,FALSE
Crassostrea angulata,oyster,"FDA The Seafood List, 2023/07/21",6,0,FALSE
Arca granosa,cockle,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Dosidicus gigas,giant calamari,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Enteroctopus dofleini,giant pacific octopus,SJ,5,0,FALSE
Eucidaris tribuloides,slate pencil urchin,BP,5,0,FALSE
Farfantepenaeus aztecus,northern brown shrimp,SJ,5,0,FALSE
Haliotis laevigata,abalone,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Haliotis tuberculata,abalone,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Lambis lambis,conch,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Mactra sachalinensis,surfclam,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Marsupenaeus japonicus,kurama shrimp,SJ,5,0,FALSE
Melicertus latisulcatus,shrimp,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Mesocentrotus franciscanus,red sea urchin,BP,5,0,FALSE
Perna canaliculus,new zealand mussel,FAO Cultured Aquatic Species Fact Sheets,5,0,FALSE
Rapana venosa,whelk,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Sinotaia quadrata,snail,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Spisula sachalinensis,surf clam,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Tegillarca granosa,blood cockle,SJ,5,0,FALSE
Tenebrio molitor,yellow mealworm beetle,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",5,0,FALSE
Zygochlamys delicatula,scallop,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Achatina fulica,snail,"FDA The Seafood List, 2023/07/21",5,0,FALSE
Acheta domesticus,house cricket,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",5,0,FALSE
Alphitobius diaperinus,lesser mealworm,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",4,0,FALSE
Apis dorsata,giant honey bee,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",4,0,FALSE
Arctica islandica,ocean quahog,Marty Smith,4,0,FALSE
Atrina pectinata,pen shell,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Cancer magister,dungeness crab,JL,4,0,FALSE
Carcinus maenas,swimming crab,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Cellana denticulata,limpet,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Cerastoderma edule,common cockle,SJ,4,0,FALSE
Chlamys islandica,scallop,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Doryteuthis opalescens,squid,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Ensis directus,razor clam,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Fenneropenaeus penicillatus,shrimp,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Gryllodes sigillatus,tropical house cricket,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",4,0,FALSE
Haliotis rubra,abalone,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Haliotis rufescens,abalone,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Homarus americanus,lobster,BP,4,0,FALSE
Jasus edwardsii,southern rock lobster,"Newton, ""The Oldest Foods on Earth""",4,0,FALSE
Lethocerus indicus,giant water bug,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",4,0,FALSE
Litopenaeus stylirostris,shrimp,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Metacarcinus magister,dungeness crab,JL,4,0,FALSE
Metapenaeus affinis,shrimp,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Mimachlamys varia,scallop,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Mizuhopecten yessoensis,yesso scallop,FAO Cultured Aquatic Species Fact Sheets,4,0,FALSE
Mytilus chilensis,mussel,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Ovalipes punctatus,swimming crab,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Parapenaeus longirostris,shrimp,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Patinopecten yessoensis,scallop,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Portunus trituberculatus,swimming crab,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Pseudacanthotermes militaris,termite,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",4,0,FALSE
Pseudacanthotermes spiniger,termite,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",4,0,FALSE
Ranina ranina,spanner crab,SJ,4,0,FALSE
Saccostrea glomerata,sydney cupped oyster,FAO Cultured Aquatic Species Fact Sheets,4,0,FALSE
Strongylocentrotus purpuratus,pacific purple sea urchin,BP,4,0,FALSE
Styela clava,sea squirt,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Tectura testudinalis,limpet,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Tonna galea,tun,"FDA The Seafood List, 2023/07/21",4,0,FALSE
Aliger gigas,queen conch,SJ,3,0,FALSE
Amusium japonicum,scallop,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Aristaeomorpha foliacea,shrimp,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Aristaeopsis edwardsiana,shrimp,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Babylonia areolata,whelk,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Chondracris rosea,grasshopper,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",3,0,FALSE
Farfantepenaeus notialis,southern pink shrimp,SJ,3,0,FALSE
Haliotis roei,abalone,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Illex argentinus,squid,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Lithodes santolla,santolla crab,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Littorina littorea,periwinkle,JL,3,0,FALSE
Modiolus modiolus,mussel,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Monodonta turbinata,top shell,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Nephrops norvegicus,norway lobster,SJ,3,0,FALSE
Nephropsis aculeata,lobsterette,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Octopus minor,long arm octopus,SJ,3,0,FALSE
Ommastrephes bartramii,squid,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Palaemon serratus,shrimp,"FDA The Seafood List, 2023/07/21",3,0,FALSE
