species,marker,list,source_status,n_raw,n_amplicons,amplicon_yield,secs
Brassica juncea var. juncea,trnL,plant-candidate,on-list,3,3,TRUE,2.4
Cheilocostus speciosus,trnL,plant-candidate,on-list,3,3,TRUE,2.6
Myrica rubra,trnL,plant-candidate,on-list,3,3,TRUE,2.5
Paeonia x suffruticosa,trnL,plant-candidate,on-list,3,3,TRUE,3.7
Dioscorea cayennensis,trnL,plant-candidate,on-list,32,2,TRUE,2.6
Spondias lakonensis,trnL,plant-candidate,on-list,5,2,TRUE,2.6
Feronia limonia,trnL,plant-candidate,on-list,4,2,TRUE,2.7
Rollinia mucosa,trnL,plant-candidate,on-list,4,2,TRUE,2.7
Brassica oleracea var. capitata f. alba,trnL,plant-candidate,on-list,3,2,TRUE,2.4
Brassica rapa subsp. chinensis,trnL,plant-candidate,on-list,3,2,TRUE,2.3
Brassica rapa subsp. pekinensis,trnL,plant-candidate,on-list,3,2,TRUE,2.4
Brassica rapa subsp. rapa,trnL,plant-candidate,on-list,3,2,TRUE,2.5
Brassica rapa var. glabra,trnL,plant-candidate,on-list,3,2,TRUE,2.6
Chenopodium capitatum,trnL,plant-candidate,on-list,3,2,TRUE,2.6
Chenopodium foliosum,trnL,plant-candidate,on-list,3,2,TRUE,2.9
Cucurbita pepo subsp. pepo,trnL,plant-candidate,on-list,2,2,TRUE,2.5
Cyphomandra betacea,trnL,plant-candidate,on-list,3,2,TRUE,2.7
Marsdenia australis,trnL,plant-candidate,on-list,3,2,TRUE,2.3
Pyrus bretschneideri,trnL,plant-candidate,on-list,2,2,TRUE,2.9
Valeriana sambucifolia,trnL,plant-candidate,on-list,2,2,TRUE,2.4
Dioscorea rotundata,trnL,plant-candidate,on-list,22,1,TRUE,2.4
Merrillia caloxylon,trnL,plant-candidate,on-list,7,1,TRUE,2.7
Rosa x hybrida,trnL,plant-candidate,on-list,6,1,TRUE,2.5
Citrus aurantiifolia,trnL,plant-candidate,on-list,5,1,TRUE,2.9
Citrus x taitensis,trnL,plant-candidate,on-list,5,1,TRUE,2.4
Foeniculum vulgare,trnL,plant-candidate,on-list,5,1,TRUE,2.6
Rubus fruticosus,trnL,plant-candidate,on-list,5,1,TRUE,2.6
Carica pubescens,trnL,plant-candidate,on-list,4,1,TRUE,2.7
Citrus latifolia,trnL,plant-candidate,on-list,4,1,TRUE,3
Inga feuilleei,trnL,plant-candidate,on-list,4,1,TRUE,2.5
Kyllinga brevifolia,trnL,plant-candidate,on-list,4,1,TRUE,2.4
Passiflora mollissima,trnL,plant-candidate,on-list,4,1,TRUE,2.5
Passiflora pinnatistipula,trnL,plant-candidate,on-list,4,1,TRUE,2.4
Vasconcellea pubescens,trnL,plant-candidate,on-list,4,1,TRUE,2.7
Aquilegia caerulea,trnL,plant-candidate,on-list,3,1,TRUE,2.5
