species,marker,list,source_status,n_raw,n_amplicons,amplicon_yield,secs
Dentex dentex,12S,vertebrate-candidate,on-list,3,0,FALSE,2.6
Epinephelus poecilonotus,12S,vertebrate-candidate,on-list,3,0,FALSE,2.5
Kuhlia marginata,12S,vertebrate-candidate,on-list,3,0,FALSE,2.4
Limanda punctatissima,12S,vertebrate-candidate,on-list,3,0,FALSE,2.7
Lutjanus aratus,12S,vertebrate-candidate,on-list,3,0,FALSE,2.5
Microstomus kitt,12S,vertebrate-candidate,on-list,3,0,FALSE,3
Pangasius sanitwongsei,12S,vertebrate-candidate,on-list,3,0,FALSE,2.6
Puntius sophore,12S,vertebrate-candidate,on-list,3,0,FALSE,3.1
Raja inornata,12S,vertebrate-candidate,on-list,3,0,FALSE,2.7
Saurida elongata,12S,vertebrate-candidate,on-list,3,0,FALSE,2.5
Scophthalmus rhombus,12S,vertebrate-candidate,on-list,3,0,FALSE,2.7
Bothus ocellatus,12S,vertebrate-candidate,on-list,2,0,FALSE,2.5
Cheilopogon exsiliens,12S,vertebrate-candidate,on-list,2,0,FALSE,2.8
Chelidonichthys lucernus,12S,vertebrate-candidate,on-list,2,0,FALSE,2.6
Cyttus novaezealandiae,12S,vertebrate-candidate,on-list,2,0,FALSE,2.7
Dicentrarchus punctatus,12S,vertebrate-candidate,on-list,2,0,FALSE,2.4
Hermosilla azurea,12S,vertebrate-candidate,on-list,2,0,FALSE,2.7
Hoplopagrus guentherii,12S,vertebrate-candidate,on-list,2,0,FALSE,2.7
Hoplostethus atlanticus,12S,vertebrate-candidate,on-list,2,0,FALSE,2.4
Ilisha africana,12S,vertebrate-candidate,on-list,2,0,FALSE,2.3
Medialuna californiensis,12S,vertebrate-candidate,on-list,2,0,FALSE,3
Mycteroperca phenax,12S,vertebrate-candidate,on-list,2,0,FALSE,2.4
Myliobatis californica,12S,vertebrate-candidate,on-list,2,0,FALSE,2.3
Narcine brasiliensis,12S,vertebrate-candidate,on-list,2,0,FALSE,2.6
Opsanus pardus,12S,vertebrate-candidate,on-list,2,0,FALSE,2.5
Paralabrax clathratus,12S,vertebrate-candidate,on-list,2,0,FALSE,2.5
Paralichthys patagonicus,12S,vertebrate-candidate,on-list,2,0,FALSE,3.1
Raja texana,12S,vertebrate-candidate,on-list,2,0,FALSE,2.4
Sardinops ocellatus,12S,vertebrate-candidate,on-list,2,0,FALSE,2.4
Scomberomorus regalis,12S,vertebrate-candidate,on-list,2,0,FALSE,2.4
Sebastes borealis,12S,vertebrate-candidate,on-list,2,0,FALSE,2.5
Sebastes carnatus,12S,vertebrate-candidate,on-list,2,0,FALSE,2.9
Serranus atricauda,12S,vertebrate-candidate,on-list,2,0,FALSE,2.6
Squatina californica,12S,vertebrate-candidate,on-list,2,0,FALSE,2.4
Symphorichthys spilurus,12S,vertebrate-candidate,on-list,2,0,FALSE,2.3
Urophycis brasiliensis,12S,vertebrate-candidate,on-list,2,0,FALSE,2.6
Ambloplites cavifrons,12S,vertebrate-candidate,on-list,1,0,FALSE,2.7
Apsilus dentatus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Argentina sphyraena,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Argyrosomus hololepidotus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Atractoscion nobilis,12S,vertebrate-candidate,on-list,1,0,FALSE,3.2
Calamus arctifrons,12S,vertebrate-candidate,on-list,1,0,FALSE,3.2
Carcharhinus altimus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Carcharhinus signatus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Chironemus marmoratus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.7
Chlorurus gibbus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.8
Citharichthys sordidus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Corica soborna,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Cynoscion parvipinnis,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Elops affinis,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Embassichthys bathybius,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Epinephelus analogus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.9
Epinephelus diacanthus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Epinephelus heniochus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Epinephelus mystacinus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Equus africanus asinus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Girella nigricans,12S,vertebrate-candidate,on-list,1,0,FALSE,3
Gymnachirus melas,12S,vertebrate-candidate,on-list,1,0,FALSE,3.5
Hypsophrys nicaraguensis,12S,vertebrate-candidate,on-list,1,0,FALSE,2.7
Lampris immaculatus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Latris lineata,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Lethrinus miniatus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.7
Lutjanus guttatus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.8
Macruronus magellanicus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Mora moro,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Mulloidichthys dentatus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.8
Ophichthus rex,12S,vertebrate-candidate,on-list,1,0,FALSE,2.8
Parancistrus aurantiacus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Paranotothenia magellanica,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Pellona ditchela,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Pleuronichthys decurrens,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Polyprion oxygeneios,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Pristipomoides flavipinnis,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Pseudapocryptes elongatus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Puntius chola,12S,vertebrate-candidate,on-list,1,0,FALSE,3.1
Rhinobatos lentiginosus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.3
Rhombosolea leporina,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Rhombosolea tapirina,12S,vertebrate-candidate,on-list,1,0,FALSE,3.1
Samariscus triocellatus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Sarda chiliensis,12S,vertebrate-candidate,on-list,1,0,FALSE,2.7
Sardinella fimbriata,12S,vertebrate-candidate,on-list,1,0,FALSE,2.7
Sciades parkeri,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Sebastes atrovirens,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Sebastes capensis,12S,vertebrate-candidate,on-list,1,0,FALSE,2.7
Sebastes chlorostictus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Sebastes chrysomelas,12S,vertebrate-candidate,on-list,1,0,FALSE,2.3
Sebastes ensifer,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Sebastes gilli,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Sebastes lentiginosus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Sebastes levis,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Sebastes melanosema,12S,vertebrate-candidate,on-list,1,0,FALSE,2.5
Sebastes phillipsi,12S,vertebrate-candidate,on-list,1,0,FALSE,2.3
Sebastes rastrelliger,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Sebastes rufinanus,12S,vertebrate-candidate,on-list,1,0,FALSE,3.1
Sebastes serranoides,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Sebastes serriceps,12S,vertebrate-candidate,on-list,1,0,FALSE,2.8
Seriolella punctata,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Sillago domina,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Sphyraena ensis,12S,vertebrate-candidate,on-list,1,0,FALSE,2.6
Stromateus brasiliensis,12S,vertebrate-candidate,on-list,1,0,FALSE,2.4
Triportheus elongatus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.3
Varanus giganteus,12S,vertebrate-candidate,on-list,1,0,FALSE,2.7
