scientific_name,marker,ncbi_hits,common_name,source
Cinnamomum loureiroi,trnL,0,saigon cinnamon,Milla 2020 Crop Origins
Citrus amblycarpa,trnL,0,nasnaran,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Citrus limettioides,trnL,0,Palestinian sweet lime,Blancke 2016
Citrus meyeri,trnL,0,meyer lemon,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Citrus mitis,trnL,0,calamansi,Milla 2020 Crop Origins
Citrus x floridana,trnL,0,limequat,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Claytonia perfoliata,trnL,0,indian lettuce,Milla 2020 Crop Origins
Cordia dodecandra,trnL,0,ciricote,"Sterling, ""Yucatan"""
Cordyline fruticosa,trnL,0,ti plant,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Crambe maritima,trnL,0,seacale,Milla 2020 Crop Origins
Crataegus orientalis,trnL,0,oriental hawthorn,Milla 2020 Crop Origins
Crotalaria longirostrata,trnL,0,longbeak rattlebox,Milla 2020 Crop Origins
Cucurbita pepo var. turbinata,trnL,0,acorn squash,BP
Curcuma pierreana,trnL,0,curcuma genus,Milla 2020 Crop Origins
Cynometra cauliflora,trnL,0,nam-nam,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Daucus carota subsp. sativus,trnL,0,carrot,BP
Digitaria iburua,trnL,0,fonio,JL
Dillenia serrata,trnL,0,dongi,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Dioscorea flabellifolia,trnL,0,fanleaf yam,Milla 2020 Crop Origins
Diospyros major,trnL,0,mapa,Milla 2020 Crop Origins
Diuris semilunulata,trnL,0,late leopard orchid,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Durio kinabaluensis,trnL,0,durian kinabalu,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Durio testudinarum,trnL,0,durian kura-kura,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Elaeagnus multiflora,trnL,0,goumi,Milla 2020 Crop Origins
Elaeocarpus floribundus,trnL,0,indian olive,Milla 2020 Crop Origins
Eleiodoxa conferta,trnL,0,asam kelubi,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Entada phaseolides,trnL,0,st thomas bean,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Enydra fluctuans,trnL,0,buffalo spinach,BP
Etlingera hemisphaerica,trnL,0,helani tulip ginger,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Exocarpos cupressiformis,trnL,0,native cherry,"Newton, ""The Oldest Foods on Earth"""
Ficus aspera,trnL,0,mosaic fig,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Ficus copiosa,trnL,0,plentiful fig,"Newton, ""The Oldest Foods on Earth"""
Ficus coronata,trnL,0,sandpaper fig,"Newton, ""The Oldest Foods on Earth"""
Ficus dammaropsis,trnL,0,kapiak,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Ficus rubiginosa,trnL,0,rusty fig,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Flacourtia inermis,trnL,0,lovi-lovi,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
