Feature ID	Taxon
NC_062413.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;NA;NA;NA
EU129015.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. borealis;NA;NA
AY603281.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. ceretanica;NA;NA
AY603267.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. sudetica;NA;NA
AY603286.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. alpicola;NA
EU129001.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. arenicola;NA
EU129021.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. californica;NA
EU129025.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. gigantea;NA
EU129027.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. lanulosa;NA
EU129041.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. litoralis;NA
EU128989.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. millefolium;NA
EU129061.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. pacifica;NA
EU129075.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. puberula;NA
NC_037084.1	Eukaryota;Streptophyta;Magnoliopsida;Arecales;Arecaceae;Acrocomia;Acrocomia aculeata;NA;NA;NA
JN102166.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia arguta;NA;NA;NA
NC_034913.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia arguta;NA;NA;NA
LC568625.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia arguta;NA;Actinidia arguta var. arguta;NA
NC_026690.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia chinensis;NA;NA;NA
NC_026691.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia deliciosa;NA;NA;NA
NC_034915.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia kolomikta;NA;NA;NA
NC_031186.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia polygama;NA;NA;NA
AY328150.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Adansonia;Adansonia digitata;NA;NA;NA
HQ696740.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Adansonia;Adansonia gregorii;NA;NA;NA
AF278486.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Adenanthera;Adenanthera pavonina;NA;NA;NA
NC_067833.1	Eukaryota;Streptophyta;Magnoliopsida;Arecales;Arecaceae;Adonidia;Adonidia merrillii;NA;NA;NA
AY295294.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Aegle;Aegle marmelos;NA;NA;NA
HM163756.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Aegle;Aegle marmelos;NA;NA;NA
FJ848655.1	Eukaryota;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Aframomum;Aframomum melegueta;NA;NA;NA
MH497226.1	Eukaryota;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Aframomum;Aframomum melegueta;NA;NA;NA
AY506626.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Agastache;Agastache foeniculum;NA;NA;NA
OR199221.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Agastache;Agastache foeniculum;NA;NA;NA
JQ669022.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Agastache;Agastache rugosa;NA;NA;NA
NC_053706.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Agastache;Agastache rugosa;NA;NA;NA
OR199226.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Agastache;Agastache rugosa;NA;NA;NA
OR199227.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Agastache;Agastache rugosa;NA;NA;NA
NC_032053.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Asparagaceae;Agave;Agave americana;NA;NA;NA
NC_059875.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Asparagaceae;Agave;Agave sisalana;NA;NA;NA
AB817351.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Ageratum;Ageratum conyzoides;NA;NA;NA
NC_053839.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Alcea;Alcea rosea;NA;NA;NA
NC_077491.1	Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Aleurites;Aleurites moluccanus;NA;NA;NA
KF965155.1	Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;Alibertia;Alibertia edulis;NA;NA;NA
DQ180420.1	Eukaryota;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Alkekengi;Alkekengi officinarum;NA;NA;NA
MH752594.1	Eukaryota;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Alkekengi;Alkekengi officinarum;NA;Alkekengi officinarum var. franchetii;NA
EU626245.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium ampeloprasum;NA;NA;NA
NC_044666.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium ampeloprasum;NA;NA;NA
EU626249.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium ampeloprasum;Allium ampeloprasum subsp. ampeloprasum;NA;NA
EU626246.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium ampeloprasum;Allium ampeloprasum subsp. ampeloprasum;Allium ampeloprasum var. babingtonii;NA
FJ628603.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium cepa;NA;NA;NA
