scientific_name,marker,ncbi_hits
"Corica soborna",12S,1
"Corvula batabana",12S,0
"Corvula sanctaeluciae",12S,0
"Crangon crangon",12S,1
"Crangon franciscorum",12S,0
"Crangon septemspinosa",12S,0
"Crassostrea angulata",12S,6
"Crassostrea chilensis",12S,0
"Crassostrea gigas",12S,12
"Crassostrea gigas kumamoto",12S,0
"Crassostrea glomerata",12S,0
"Crassostrea skiamea",12S,0
"Crassostrea virginica",12S,0
"Crenimugil crenilabis",12S,6
"Crepidula fornicata",12S,1
"Crocothemis servilia",12S,2
"Ctenopharyngodon idellus",12S,14
"Cybiosarda elegans",12S,0
"Cyclochila virens",12S,0
"Cyclopsetta chittendeni",12S,5
"Cymbium olla",12S,1
"Cynoscion acoupa",12S,0
"Cynoscion othonopterus",12S,0
"Cynoscion parvipinnis",12S,1
"Cynoscion virescens",12S,0
"Cypselurus agoo",12S,5
"Cypselurus comatus",12S,0
"Cypselurus simus",12S,0
"Cyriopagopus albostriatus",12S,0
"Cyrtodaria siliqua",12S,0
"Cyttus novaezealandiae",12S,2
"Decapodiformes",12S,592
"Decapterus koheru",12S,0
"Decapterus scombrinus",12S,0
"Delphinidae",12S,1218
"Dentex dentex",12S,3
"Dentex tumifrons",12S,6
"Diagramma labiosum",12S,0
"Dicentrarchus punctatus",12S,2
"Dinocardium robustum",12S,0
"Diodon",12S,24
"Diodora aspera",12S,0
"Diplodus argenteus",12S,0
"Dipturus olseni",12S,0
"Donax texasianus",12S,0
"Donax variabilis",12S,0
"Doryteuthis opalescens",12S,4
"Doryteuthis pealeii",12S,0
"Dosidicus gigas",12S,5
"Dytiscidae",12S,454
"Echidna peli",12S,0
"Echinus esculentus",12S,1
"Elops affinis",12S,1
"Embassichthys bathybius",12S,1
"Encosternum delegorguei",12S,0
"Encrasicholina purpurea",12S,0
"Endoxyla leucomochla",12S,0
"Engraulidae",12S,432
"Engraulis anchoita",12S,0
"Engraulis australis",12S,0
"Ensis arcuatus",12S,13
"Ensis directus",12S,4
"Ensis ensis",12S,0
"Ensis macha",12S,0
"Ensis siliqua",12S,17
"Enteroctopus dofleini",12S,5
"Epigonus crassicaudus",12S,0
"Epigonus telescopus",12S,6
"Epinephelinae",12S,1419
"Epinephelus analogus",12S,1
"Epinephelus diacanthus",12S,1
"Epinephelus fucoglottus x Epinephelus lanceolatus",12S,0
"Epinephelus heniochus",12S,1
"Epinephelus mystacinus",12S,1
"Epinephelus nigritus",12S,2
"Epinephelus niveatus",12S,6
"Epinephelus poecilonotus",12S,3
"Epinephelus timorensis",12S,0
"Epinephelus trophis",12S,0
"Eptatretus stoutii",12S,0
"Equetus punctatus",12S,1
"Equus africanus asinus",12S,1
"Erimacrus isenbeckii",12S,0
"Eriocheir sinensis",12S,12
"Esox",12S,61
"Esox americanus americanus",12S,10
"Esox americanus vermiculatus",12S,6
"Euastacus armatus",12S,45
"Eucidaris tribuloides",12S,5
"Euvola diegensis",12S,0
"Euvola ziczac",12S,6
"Evechinus chloroticus",12S,0
"Exocoetidae",12S,103
"Exocoetus obtusirostris",12S,0
"Exopalaemon styliferus",12S,0
"Farfantepenaeus aztecus",12S,5
"Farfantepenaeus brasiliensis",12S,27
"Farfantepenaeus duorarum",12S,26
"Farfantepenaeus notialis",12S,3
"Farfantepenaeus subtilis",12S,0
"Fenneropenaeus chinensis",12S,1
"Fenneropenaeus indicus",12S,16
"Fenneropenaeus merguiensis",12S,11
"Fenneropenaeus penicillatus",12S,4
"Fissurella limbata",12S,0
"Fissurella maxima",12S,0
"Fodiator acutus",12S,0
"Formica rufa",12S,0
"Gadus",12S,410
"Galatheoidea",12S,210
"Galeoides decadactylus",12S,2
"Gari solida",12S,0
"Genyagnus monopterygius",12S,0
"Genyonemus lineatus",12S,4
"Genypterus capensis",12S,13
"Genypterus chilensis",12S,0
"Genypterus maculatus",12S,0
"Geothelphusa dehaani",12S,1
"Gibelion catla",12S,11
"Girella nigricans",12S,1
"Glycymeris decussata",12S,0
"Glycymeris glycymeris",12S,0
"Glycymeris laticostata",12S,0
"Glycymeris pilosa",12S,0
"Glycymeris violacescens",12S,0
"Glyptocephalus cynoglossus",12S,4
"Gnathophis cinctus",12S,0
"Gobionotothen marionensis",12S,0
"Goniistius gibbosus",12S,0
"Goniistius spectabilis",12S,0
"Grammatorcynus bicarinatus",12S,0
"Gryllodes sigillatus",12S,4
"Gryllus",12S,11
"Gymnachirus melas",12S,1
"Gymnothorax mareei",12S,0
"Haemulon chrysargyreum",12S,1
"Haemulon melanurum",12S,0
"Haemulon scudderii",12S,0
"Haemulon steindachneri",12S,0
"Haliotis assimilis",12S,0
"Haliotis australis",12S,0
"Haliotis corrugata",12S,0
"Haliotis fulgens",12S,2
"Haliotis gigantea",12S,40
"Haliotis iris",12S,6
"Haliotis kamtschatkana",12S,0
"Haliotis laevigata",12S,5
"Haliotis pourtalesii",12S,0
"Haliotis roei",12S,3
"Haliotis rubra",12S,4
"Haliotis rufescens",12S,4
"Haliotis tuberculata",12S,5
"Haliotis walallensis",12S,0
"Haliporoides sibogae",12S,0
"Haliporoides triarthrus",12S,0
"Harengula thrissina",12S,0
"Haustellum brandaris",12S,0
"Helix pomatia",12S,12
"Hemijana variegata",12S,0
"Hermosilla azurea",12S,2
"Heterobranchus longifilis",12S,0
"Heterobranchus longifilis x Clarias gariepinus",12S,0
"Heterocarpus laevigatus",12S,0
"Heterocarpus vicarius",12S,0
"Hexagrammos octogrammus",12S,47
"Hippoglossina stomata",12S,0
"Hippoidea",12S,19
"Holothuria fuscogilva",12S,1
"Holothuria mexicana",12S,0
"Holothuria poli",12S,1
"Holothuria tubulosa",12S,0
"Holothuria whitmaei",12S,1
"Holothuroidea",12S,307
"Homarus americanus",12S,4
"Homarus gammarus",12S,8
"Hoplopagrus guentherii",12S,2
"Hoplostethus atlanticus",12S,2
"Hoplostethus mediterraneus mediterraneus",12S,0
"Hoplunnis diomediana",12S,0
"Hoplunnis macrura",12S,0
"Huso huso (fem) x Acipenser ruthenus (male)",12S,0
"Hyas araneus",12S,0
"Hydrolagus novaezealandiae",12S,0
"Hyperoglyphe bythites",12S,0
"Hyperoglyphe perciformis",12S,0
"Hyperoglyphe pringlei",12S,0
"Hypoderma tarandi",12S,0
"Hypsophrys nicaraguensis",12S,1
"Ibacus ciliatus",12S,2
"Ictalurus punctatus x Ictalurus furcatus",12S,0
"Ilisha africana",12S,2
"Ilisha fuerthii",12S,0
"Ilisha megaloptera",12S,0
"Illex argentinus",12S,3
"Illex coindetii",12S,1
"Illex illecebrosus",12S,0
"Imbrasia belina",12S,0
"Iniidae",12S,12
"Iphigenia brasiliana",12S,0
"Isopisthus remifer",12S,0
"Isostichopus badionotus",12S,1
"Jacquinotia edwardsii",12S,0
"Jasus edwardsii",12S,4
"Jasus frontalis",12S,1
"Jasus lalandii",12S,0
"Jasus paulensis",12S,0
"Johnius dussumieri",12S,0
"Kathetostoma giganteum",12S,0
"Kryptopterus limpok",12S,0
"Kuhlia marginata",12S,3
"Kyphosus sectator",12S,13
"Lactophrys triqueter",12S,2
"Lagocephalus",12S,113
"Lambis lambis",12S,5
"Lampris immaculatus",12S,1
"Lasius fuliginosus",12S,0
"Latidae",12S,107
"Latridopsis ciliaris",12S,0
"Latris lineata",12S,1
"Leiognathus equulus",12S,10
"Lepidopsetta billineta",12S,0
"Lepidorhynchus denticulatus",12S,0
"Lepidotrigla argus",12S,0
"Lepophidium brevibarbe",12S,0
"Lepophidium jeannae",12S,0
"Leporinus obtusidens",12S,2
"Lethocerus indicus",12S,4
"Lethrinus miniatus",12S,1
"Lethrinus variegatus",12S,0
"Lethrinus xanthochilus",12S,3
"Leucoraja erinacea",12S,12
"Leukoma staminea",12S,0
"Limanda ferruginea",12S,3
"Limanda proboscidea",12S,3
"Limanda punctatissima",12S,3
"Lithodes aequispinus",12S,1
"Lithodes antarcticus",12S,0
"Lithodes couesi",12S,0
"Lithodes murrayi",12S,0
"Lithodes santolla",12S,3
"Lithodidae",12S,38
"Litopenaeus occidentalis",12S,0
"Litopenaeus schmitti",12S,0
"Litopenaeus setiferus",12S,2
"Litopenaeus stylirostris",12S,4
"Litopenaeus vannamei",12S,32
"Littorina littorea",12S,3
"Littorina sitkana",12S,2
"Liza grandisquamis",12S,5
"Loligo forbesii",12S,1
"Loligo gahi",12S,0
"Loligo media",12S,0
"Loligo ocula",12S,0
"Loligo plei",12S,0
"Loligo vulgaris",12S,2
"Loligo vulgaris reynaudi",12S,0
"Loliolus beka",12S,2
"Lolliguncula brevis",12S,1
"Lolliguncula panamensis",12S,0
"Lophius",12S,38
"Lopholithodes foraminatus",12S,1
"Lotella rhacina",12S,0
"Lottia gigantea",12S,1
"Loxorhynchus grandis",12S,0
"Lutjanidae",12S,566
"Lutjanus agennes",12S,0
"Lutjanus aratus",12S,3
"Lutjanus guttatus",12S,1
"Lutjanus inermis",12S,0
"Lutjanus johnii",12S,19
"Lutjanus jordani",12S,0
"Lutjanus purpureus",12S,0
"Macoma nasuta",12S,0
"Macrobrachium carcinus",12S,0
"Macrobrachium ohione",12S,0
"Macrobrachium rosenbergii",12S,12
"Macrocallista maculata",12S,0
"Macrocallista nimbosa",12S,0
"Macrotermes bellicosus",12S,0
"Macrotermes subhyalinus",12S,7
"Macruronus magellanicus",12S,1
"Mactra sachalinensis",12S,5
"Mactrellona alata",12S,0
"Mactromeris catilliformis",12S,0
"Mactromeris hemphillii",12S,0
"Mactromeris polynyma",12S,0
"Mactrotoma californica",12S,0
"Mactrotoma fragilis",12S,0
"Mactrotoma nasuta",12S,0
"Magallana gigas",12S,12
"Maja squinado",12S,0
"Malacanthidae",12S,48
"Malacoraja senta",12S,0
"Manta birostris",12S,21
"Manta hamiltoni",12S,0
"Marsupenaeus japonicus",12S,5
"Medialuna californiensis",12S,2
"Medusozoa",12S,0
"Megabalanus psittacus",12S,0
"Meganyctiphanes norvegica",12S,0
"Meleagris",12S,119
"Melicertus kerathurus",12S,1
"Melicertus latisulcatus",12S,5
"Melicertus plebejus",12S,1
"Melophorus bagoti",12S,0
"Menippe adina",12S,1
"Menippe mercenaria",12S,1
"Menticirrhus undulatus",12S,0
"Mercenaria campechiensis",12S,0
"Mercenaria mercenaria",12S,2
"Mercluccius productus",12S,0
"Meretrix lyrata",12S,2
"Merlucciidae",12S,89
"Merluccius paradoxus",12S,14
"Mesocentrotus franciscanus",12S,5
"Metacarcinus edwardsii",12S,0
"Metacarcinus magister",12S,4
"Metanephrops binghami",12S,0
"Metanephrops challengeri",12S,0
"Metanephrops rubellus",12S,1
"Metapenaeus affinis",12S,4
"Metapenaeus dobsoni",12S,0
"Metapenaeus endeavouri",12S,0
"Metapenaeus ensis",12S,7
"Metapenaeus monoceros",12S,0
"Meuschenia galii",12S,0
"Meuschenia scaber",12S,0
"Microchirus variegatus",12S,6
"Microcosmus sabatieri",12S,0
"Micromesistius australis",12S,0
"Micropterus notius",12S,0
"Micropterus treculii",12S,6
"Microstomus kitt",12S,3
"Mimachlamys varia",12S,4
"Mizuhopecten yessoensis",12S,4
"Mobula thurstoni",12S,6
"Modiolus barbatus",12S,1
"Modiolus modiolus",12S,3
"Monochamus versteegi",12S,0
"Monodonta turbinata",12S,3
"Monomia haanii",12S,2
"Mora moro",12S,1
"Morone chrysops x Morone saxatilis",12S,0
"Morone mississippiensis",12S,0
"Morone saxatilis x Morone chrysops",12S,0
"Mugil gaimardianus",12S,0
