scientific_name,marker,ncbi_hits
"Sebastes phillipsi",12S,1
"Sebastes rastrelliger",12S,1
"Sebastes rufinanus",12S,1
"Sebastes serranoides",12S,1
"Sebastes serriceps",12S,1
"Sebastolobus altivelis",12S,0
"Selachimorpha",12S,0
"Sepia esculenta",12S,10
"Sepia lycidas",12S,7
"Sepiida",12S,190
"Sepiola rondeletii",12S,2
"Sepioteuthis australis",12S,2
"Sepioteuthis lessoniana",12S,8
"Sepioteuthis sepioidea",12S,0
"Sergia lucens",12S,1
"Seriolella brama",12S,8
"Seriolella caerulea",12S,0
"Seriolella punctata",12S,1
"Seriphus politus",12S,0
"Serranidae",12S,1576
"Serranus atricauda",12S,2
"Serripes groenlandicus",12S,0
"Sicyonia brevirostris",12S,0
"Siganus",12S,117
"Siliqua alta",12S,0
"Siliqua costata",12S,0
"Siliqua patula",12S,0
"Sillago bassensis",12S,0
"Sillago domina",12S,1
"Sillago robusta",12S,0
"Siluriformes",12S,3540
"Simomactra dolabriformis",12S,0
"Simomactra falcata",12S,0
"Simomactra planulata",12S,0
"Sinotaia quadrata",12S,5
"Soleidae",12S,162
"Solen grandis",12S,2
"Solen marginatus",12S,2
"Solen rostriformis",12S,0
"Solen viridis",12S,0
"Solenocera agassizii",12S,1
"Solenocera melantho",12S,3
"Somileptus gongota",12S,2
"Spaerechinus granularis",12S,0
"Sphenarium purpurascens",12S,8
"Sphoeroides",12S,42
"Sphoeroides lobatus",12S,0
"Sphyraena",12S,109
"Sphyraena argentea",12S,0
"Sphyraena ensis",12S,1
"Sphyrna tudes",12S,4
"Spirinchus starksi",12S,4
"Spisula sachalinensis",12S,5
"Spisula solida",12S,0
"Spisula solidissima",12S,0
"Sprattus",12S,351
"Squalidae",12S,51
"Squatina californica",12S,2
"Squilla mantis",12S,2
"Stenotomus caprinus",12S,4
"Sthenoteuthis oualaniensis",12S,12
"Stromateidae",12S,92
"Stromateus brasiliensis",12S,1
"Strombidae",12S,43
"Strombus alatus",12S,0
"Strombus costatus",12S,0
"Strombus gigas",12S,3
"Strombus pugilis",12S,2
"Strongylocentrotus droebachiensis",12S,7
"Strongylocentrotus purpuratus",12S,4
"Styela clava",12S,4
"Styela plicata",12S,2
"Sylvilagus",12S,130
"Symphorichthys spilurus",12S,2
"Symphorus nematophorus",12S,7
"Synclidopus macleayanus",12S,0
"Tagelus californianus",12S,0
"Tagelus dombeii",12S,0
"Tagelus plebeius",12S,0
"Takifugu",12S,139
"Tapes rhomboides",12S,0
"Tapes variegata",12S,0
"Tectura testudinalis",12S,4
"Tegillarca granosa",12S,5
"Tenebrio molitor",12S,5
"Tessaratoma quadrata",12S,2
"Tetraodontidae",12S,511
"Thelenota ananas",12S,2
"Thyrsitops lepidopoides",12S,2
"Thysanoessa inermis",12S,0
"Tibicen pruinosus",12S,0
"Tilapia rendalli",12S,4
"Tiostrea lutaria",12S,0
"Tivela stultorum",12S,0
"Todarodes angolensis",12S,0
"Todarodes pacificus",12S,7
"Todarodes sagittatus",12S,0
"Tonna galea",12S,4
"Torpedo californica",12S,0
"Torpedo nobiliana",12S,0
"Trachinotus",12S,66
"Trachinotus africanus",12S,0
"Trachinotus kennedyi",12S,0
"Trachinotus rhodopus",12S,0
"Trachurus declivis",12S,0
"Trachurus novaezelandiae",12S,0
"Trachysalambria curvirostris",12S,11
"Tresus capax",12S,0
"Tresus nuttallii",12S,0
"Trionyx sinensis",12S,127
"Triportheus albus",12S,0
"Triportheus elongatus",12S,1
"Trophon geversianus",12S,1
"Turbo cornutus",12S,2
"Ucides cordates",12S,0
"Ucides occidentalis",12S,0
"Umbrina cirrosa",12S,0
"Umbrina coroides",12S,0
"Umbrina roncador",12S,0
"Upeneichthys lineatus",12S,0
"Upeneus parvus",12S,7
"Urophycis brasiliensis",12S,2
"Urophycis cirrata",12S,0
"Uroteuthis chinensis",12S,3
"Uroteuthis duvauceli",12S,2
"Varanus giganteus",12S,1
"Venerupis aspera",12S,2
"Venerupis aurea",12S,0
"Venerupis decussata",12S,2
"Venerupis philippinarum",12S,47
"Vespa orientalis",12S,6
"Vespa velutina",12S,11
"Watasenia scintillans",12S,6
"Xanthidae",12S,361
"Xenobrama microlepis",12S,0
"Xiphopenaeus kroyeri",12S,0
"Xylotrupes gideon",12S,0
"Zenopsis conchifera",12S,9
"Zenopsis nebulosa",12S,8
"Zeus capensis",12S,7
"Zidona dufresnei",12S,0
"Zonocerus variegatus",12S,0
"Zygochlamys delicatula",12S,5
"Zygochlamys patagonica",12S,8
"Acanthopagrus berda",12S,12
"Acanthurus gahhm",12S,1
"Acetes japonicus",12S,1
"Achatina fulica",12S,5
"Acheta domesticus",12S,5
"Acipenser multiscutatus",12S,0
"Actinopyga mauritiana",12S,0
"Aequipecten glyptus",12S,1
